"Violation","Title","Descriptive Statute Code","Descriptive Statute Year","Penalty Statute Code","Penalty Statute Year","Offense Level","Minumum Sentence","Maximum Sentence","Minimum Fine","Maximum Fine","Restitution","Public Official","Unspecified Classification","Unspecified Fines"
"Possession of a Gambling Device","Title 21","21-985",1975,"21-985",1975,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Installing Communication Facilities for Gamblers","Title 21","21-986",1999,"21-986",1999,"Felony","0","5","0","25000","No","Nonspecific","Not Applicable","Not Applicable"
"DISSEMINATING GAMBLING INFORMATION","Title 21","21-987",1999,"21-987",1999,"Felony","0","5","0","25000","No","Nonspecific","Not Applicable","Not Applicable"
"BETTING ON RACES (PERMITTING/ENABLING/PROFITING)","Title 21","21-991.A",1999,"21-991.B",1999,"Felony","0","10","0","10000","No","Nonspecific","Not Applicable","Not Applicable"
"BETTING ON RACES (BET/WAGER)","Title 21","21-991.A.1",1999,"21-991.B",1999,"Unspecified","0","90 days","200","500","No","Nonspecific","Not Applicable","Not Applicable"
"Prizes and Gifts - Unlawful Acts","Title 21","21-996.3",1991,"15-761.1",1999,"Unspecified","See Statute","See Statute","See Statute","See Statute","No","Nonspecific","Not Applicable","Not Applicable"
"Guardians - Parents - Custodians - Consent to Participation of Minors in Obscene Writings, Pictures, Etc.","Title 21","21-1021.3",2007,"21-1021.3",2007,"Felony","0","20","0","25000","No","Nonspecific","Not Applicable","Not Applicable"
"Guardians - Parents - Custodians - Consent to Participation of Minors in Obscene Writings, Pictures, Etc.","Title 21","21-1021.3",2007,"21-1021.3",2007,"Felony","0","20","0","25000","No","Nonspecific","Not Applicable","Not Applicable"
"FILM PROCESSOR/COMPUTER TECH FAILURE TO REPORT CHILD PORNOGRAPHY","Title 21","21-1021.4",2005,"21-1021.4",2005,"Misdemeanor","0","1","0","500","No","Nonspecific","Not Applicable","Not Applicable"
"Duty to Report Obscene or Pornographic Material Depicting Minors","Title 21","21-1021.4.A",2005,"21-1021.4.B",2005,"Misdemeanor","0","1","0","500","No","Nonspecific","Not Applicable","Not Applicable"
"PROCURE/ASSIST LEWD EXHIBITION","Title 21","21-1021.A.2",2011,"21-1021.A",2011,"Felony","30 days","10","500","20000","No","Nonspecific","Not Applicable","Not Applicable"
"Prepares/Publishes/Sells/Distributes/Keeps for Sale/Knowingly Downloads on a Computer/Exhibits Obscene Material or Child Pornography","Title 21","21-1021.A.3",2011,"21-1021.A",2011,"Felony","30 days","10","500","20000","No","Nonspecific","Not Applicable","Not Applicable"
"Prepares/Possesses/Distributes/Sells Disc Record/Metal/Plastic/Wax/Wire/Tape Recording of Obscene Material or Child Pornography","Title 21","21-1021.A.4",2011,"21-1021.A",2011,"Felony","30 days","10","500","20000","No","Nonspecific","Not Applicable","Not Applicable"
"SOLICIT/AID MINOR FOR INDECENT EXPOSURE","Title 21","21-1021.B.1",2011,"21-1021.B",2011,"Felony","10","30","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"SHOW MINOR OBSCENE MATERIAL OR CHILD PORNOGRAPHY TO SOLICIT/AID INDECENT EXPOSURE","Title 21","21-1021.B.2",2011,"21-1021.B",2011,"Felony","10","30","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"SHOWING OBSCENE MATERIAL TO MINOR UNDER 12 TO SOLICIT/AID INDECENT EXPOSURE","Title 21","21-1021.B.3",2011,"21-1021.B",2011,"Felony","25","Unspecified","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"SOLICIT INDECENT EXPOSURE ETC OF CHILD YOUNGER THAN 12","Title 21","21-1021.B.3",2011,"21-1021.B",2011,"Felony","25","Unspecified","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"PROCURE/PRODUCE/DISTRIBUTE/POSSESS JUVENILE PORNOGRAPHY","Title 21","21-1021.2",2007,"21-1021.2",2007,"Felony","0","20","0","25000","No","Nonspecific","Not Applicable","Not Applicable"
"Purchase/Procurement/Possession of Child Pornography","Title 21","21-1021.2",2015,"21-1024.2",2015,"Felony","0","20","0","25000","No","Nonspecific","Not Applicable","Not Applicable"
"Purchase, Procurement, or Possession of Obscene Material","Title 21","21-1024.1",2012,"21-1024.2",2015,"Felony","0","20","0","25000","No","Nonspecific","Not Applicable","Not Applicable"
"Collection and Examination of Evidence Prior to Court Proceeding - Obstruction of Investigation","Title 21","21-1024.5",2009,"21-1024.5",2009,"Misdemeanor","0","1","0","500","No","Nonspecific","Not Applicable","Not Applicable"
"OPERATING A BAWDY HOUSE","Title 21","21-1025",2014,"21-1025",2014,"Misdemeanor","Unspecified","Unspecified","2000","Unspecified","No","Nonspecific","Not Applicable","Not Applicable"
"PROSTITUTION HOUSES - DISTURBANCE OF PEACE","Title 21","21-1026",1910,"21-1026",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"RENTAL OF OR PROVIDING OF PROPERTY FOR PROSTITUTION HOUSE","Title 21","21-1027",1910,"21-1027",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Prostitution - Maintaining House - Transporting Person (First Offense)","Title 21","21-1028",2002,"21-1031.A1",2002,"Misdemeanor","30 days","1","0","2500","No","Nonspecific","Not Applicable","Not Applicable"
"Prostitution - Maintaining House - Transporting Person (Second Offense)","Title 21","21-1028",2002,"21-1031.A2",2002,"Unspecified","Unspecified","Unspecified","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"Prostitution - Maintaining House - Transporting Person (Third or Subsequent Offense)","Title 21","21-1028",2002,"21-1031.A3",2002,"Unspecified","Unspecified","Unspecified","0","7500","No","Nonspecific","Not Applicable","Not Applicable"
"Prostitution - Maintaining House - Transporting Person within 1000 Feet of School/Church (First Offense)","Title 21","21-1028",2002,"21-1031.D1",2002,"Felony","0","5","0","2500","No","Nonspecific","Not Applicable","Not Applicable"
"Prostitution - Maintaining House - Transporting Person within 1000 Feet of School/Church (Second Offense)","Title 21","21-1028",2002,"21-1031.D2",2002,"Felony","0","5","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"Prostitution - Maintaining House - Transporting Person within 1000 Feet of School/Church (Third or Subsequent Offense)","Title 21","21-1028",2002,"21-1031.D3",2002,"Felony","0","5","0","7500","No","Nonspecific","Not Applicable","Not Applicable"
"Engaging in/Soliciting Prostitution - Residing/Remaining in Place for Prohibited Purpose - Aiding/Abetting/Participating in Prohibited Acts - Child Prostitution - Human Trafficking (First Offense)","Title 21","21-1029",2016,"21-1031.A1",2002,"Misdemeanor","30 days","1","0","2500","No","Nonspecific","Not Applicable","Not Applicable"
"Engaging in/Soliciting Prostitution - Residing/Remaining in Place for Prohibited Purpose - Aiding/Abetting/Participating in Prohibited Acts - Child Prostitution - Human Trafficking (Second Offense)","Title 21","21-1029",2016,"21-1031.A2",2002,"Unspecified","Unspecified","Unspecified","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"Engaging in/Soliciting Prostitution - Residing/Remaining in Place for Prohibited Purpose - Aiding/Abetting/Participating in Prohibited Acts - Child Prostitution - Human Trafficking (Third or Subsequent Offense)","Title 21","21-1029",2016,"21-1031.A3",2002,"Unspecified","Unspecified","Unspecified","0","7500","No","Nonspecific","Not Applicable","Not Applicable"
"Engaging in/Soliciting Prostitution - Residing/Remaining in Place for Prohibited Purpose - Aiding/Abetting/Participating in Prohibited Acts - Child Prostitution - Human Trafficking within 1000 Feet of School/Church (First Offense)","Title 21","21-1029",2016,"21-1031.D1",2002,"Felony","0","5","0","2500","No","Nonspecific","Not Applicable","Not Applicable"
"Engaging in/Soliciting Prostitution - Residing/Remaining in Place for Prohibited Purpose - Aiding/Abetting/Participating in Prohibited Acts - Child Prostitution - Human Trafficking within 1000 Feet of School/Church (Second Offense)","Title 21","21-1029",2016,"21-1031.D2",2002,"Felony","0","5","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"Engaging in/Soliciting Prostitution - Residing/Remaining in Place for Prohibited Purpose - Aiding/Abetting/Participating in Prohibited Acts - Child Prostitution - Human Trafficking within 1000 Feet of School/Church (Third or Subsequent Offense)","Title 21","21-1029",2016,"21-1031.D3",2002,"Felony","0","5","0","7500","No","Nonspecific","Not Applicable","Not Applicable"
"CHILD PROSTITUTION (FIRST OFFENSE)","Title 21","21-1030",2016,"21-1031.C1",2002,"Felony","0","10","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"CHILD PROSTITUTION (SECOND OFFENSE)","Title 21","21-1030",2016,"21-1031.C2",2002,"Felony","0","10","0","10000","No","Nonspecific","Not Applicable","Not Applicable"
"CHILD PROSTITUTION (THIRD AND SUBSEQUENT OFFENSE(S))","Title 21","21-1030",2016,"21-1031.C3",2002,"Felony","0","10","0","15000","No","Nonspecific","Not Applicable","Not Applicable"
"CHILD PROSTITUTION WITHIN 1000 FEET OF SCHOOL/CHURCH (FIRST OFFENSE)","Title 21","21-1030",2016,"21-1031.D1",2002,"Felony","0","5","0","2500","No","Nonspecific","Not Applicable","Not Applicable"
"CHILD PROSTITUTION WITHIN 1000 FEET OF SCHOOL/CHURCH (SECOND OFFENSE)","Title 21","21-1030",2016,"21-1031.D2",2002,"Felony","0","5","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"CHILD PROSTITUTION WITHIN 1000 FEET OF SCHOOL/CHURCH (THIRD AND SUBSEQUENT OFFENSE(S))","Title 21","21-1030",2016,"21-1031.D3",2002,"Felony","0","5","0","7500","No","Nonspecific","Not Applicable","Not Applicable"
"Engaging in Prostitution with Knowledge of HIV","Title 21","21-1031.B",2002,"21-1031.B",2002,"Felony","0","5","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"Aggravated possession of child pornography (first offense)","Title 21","21-1040.12a",2009,"21-1040.12a",2009,"Felony","0","Life","0","10000","No","Nonspecific","Not Applicable","Not Applicable"
"Prohibited Acts - Obscene Material or Child Pornography","Title 21","21-1040.13",2000,"21-1040.13",2000,"Felony","0","10","0","10000","No","Nonspecific","Not Applicable","Not Applicable"
"Soliciting Sexual Conduct or Communication with Minor by use of Technology","Title 21","21-1040.13a",2007,"21-1040.13a",2007,"Felony","0","10","0","10000","No","Nonspecific","Not Applicable","Not Applicable"
"Nonconsensual Dissemination of Private Sexual Images","Title 21","21-1040.13b",2007,"21-1040.13b",2007,"Misdemeanor","0","1","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"OBSCENE MATERIAL OR CHILD PORNOGRAPHY - CONTEMPT","Title 21","21-1040.22",2000,"21-1040.22",2000,"Unspecified","0","1","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"Showing at Outdoor Theaters of Pictures Depicting Sexual Intercourse Prohibited Under Certain Conditions","Title 21","21-1040.52",1973,"21-1040.52",1973,"Unspecified","0","1","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"Billboard or Exterior Advertising Sign for Adult Cabaret or Sexually Oriented Business - Location","Title 21","21-1040.55",2006,"21-1040.55",2006,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Commercial Establishments - Prohibition on Display of Material Harmful to Minors - Blinder Racks (First or Second Offense)","Title 21","21-1040.76",1995,"21-1040.77",2001,"Misdemeanor","Unspecified","Unspecified","0","500","No","Nonspecific","Not Applicable","Not Applicable"
"Commercial Establishments - Prohibition on Display of Material Harmful to Minors - Blinder Racks (Third or Subsequent Offense)","Title 21","21-1040.76",1995,"21-1040.77",2001,"Misdemeanor","Unspecified","Unspecified","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"Publication/Distribution/Participation in Preparation of Any Obscene Material - Unsolicited Mailings","Title 21","21-1040.8",2014,"21-1040.8.B",2014,"Misdemeanor","0","1","2000","Unspecified","No","Nonspecific","Not Applicable","Not Applicable"
"Publication/Distribution/Participation in Preparation of Any Child Pornography - Unsolicited Mailings (First Offense)","Title 21","21-1040.8",2014,"21-1040.8.C.1",2014,"Felony","3","20","10000","Unspecified","No","Nonspecific","Not Applicable","Not Applicable"
"Publication/Distribution/Participation in Preparation of Any Child Pornography - Unsolicited Mailings (Second or Subsequent Offense)","Title 21","21-1040.8",2014,"21-1040.8.C.2",2014,"Felony","10","30","20000","Unspecified","No","Nonspecific","Not Applicable","Not Applicable"
"Interactive Computer Service Provider - Removal of Child Pornography (First Offense)","Title 21","21-1040.80",2003,"21-1040.80.G.1",2003,"Misdemeanor","Unspecified","Unspecified","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"Interactive Computer Service Provider - Removal of Child Pornography (Aggravated/Second Offense)","Title 21","21-1040.80",2003,"21-1040.80.G.2",2003,"Misdemeanor","Unspecified","Unspecified","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"Interactive Computer Service Provider - Removal of Child Pornography (Third or Subsequent Offense)","Title 21","21-1040.80",2003,"21-1040.80.G.3",2003,"Felony","0","5","0","30000","No","Nonspecific","Not Applicable","Not Applicable"
"Storage or Accumulation of Wrecked or Abandoned Motor Vehicle or Part Thereof Within View of Preexisting Residence","Title 21","21-1048",1993,"21-1048",1993,"Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Not Applicable"
"Preparing Any Lottery","Title 21","21-1053",1999,"21-1053",1999,"Felony","0","2","0","2500","No","Nonspecific","Not Applicable","Not Applicable"
"Sell or Transfer of Lottery Tickets","Title 21","21-1054",1910,"21-1054",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Advertising or Publishing Lottery","Title 21","21-1056",1910,"21-1056",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Offers to Sell or Dispose of Property by Lottery","Title 21","21-1057",1910,"21-1057",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Lottery Offices and Other Places","Title 21","21-1058",1910,"21-1058",1910,"Misdemeanor","0","1","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"Advertising - Publishing Lottery","Title 21","21-1059",1910,"21-1059",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Insuring Lottery Tickets or Shares","Title 21","21-1060",1910,"21-1060",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Advertising or Publishing Insurance of Lottery","Title 21","21-1061",1910,"21-1061",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Permitting Use of a Building for Lottery","Title 21","21-1063",1910,"21-1063",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Set Up/Promote Lottery","Title 21","21-1066",1998,"21-1068",1999,"Felony","0","2","1000","5000","No","Nonspecific","Not Applicable","Not Applicable"
"Promoting Pyramid Scheme","Title 21","21-1072",1995,"21-1073",1999,"Felony","0","10","0","10000","Yes","Nonspecific","Not Applicable","Not Applicable"
"PANDERING - PIMPING (FIRST OFFENSE)","Title 21","21-1081",2002,"21-1081",2002,"Felony","2","20","1000","3000","No","Nonspecific","Not Applicable","Not Applicable"
"PANDERING - PIMPING (SECOND OFFENSE)","Title 21","21-1081",2002,"21-1081",2002,"Felony","2","20","3000","6000","No","Nonspecific","Not Applicable","Not Applicable"
"PANDERING - PIMPING (THIRD OR SUBSEQUENT OFFENSE)","Title 21","21-1081",2002,"21-1081",2002,"Felony","2","20","6000","9000","No","Nonspecific","Not Applicable","Not Applicable"
"Unlawful Restraint of a Female in a Prostitution House","Title 21","21-1085",1995,"21-1085",1995,"Felony","2","20","300","1000","No","Nonspecific","Not Applicable","Not Applicable"
"ALLOWING PANDERING ON PREMISES (FIRST OFFENSE)","Title 21","21-1086",1999,"21-1086",1999,"Unspecified","6 months","1","0","300","No","Nonspecific","Not Applicable","Not Applicable"
"ALLOWING PANDERING ON PREMISES (SECOND OR SUBSEQUENT OFFENSE)","Title 21","21-1086",1999,"21-1086",1999,"Felony","1","10","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"Offering or Transporting Child for Purpose of Prostitution (First Offense)","Title 21","21-1087",2007,"21-1087",2007,"Misdemeanor","6 months","1","500","5000","No","Nonspecific","Not Applicable","Not Applicable"
"Offering or Transporting Child for Purpose of Prostitution (Second or Subsequent Offense)","Title 21","21-1087",2007,"21-1087",2007,"Felony","1","10","5000","25000","No","Nonspecific","Not Applicable","Not Applicable"
"Child Prostitution - Unlawful Detainment in Prostitution House (Extortion/Dangerous Substances)","Title 21","21-1088",2007,"21-1088.B",2007,"Felony","1","25","5000","25000","No","Nonspecific","Not Applicable","Not Applicable"
"Child Prostitution - Unlawful Detainment in Prostitution House (First Offense)","Title 21","21-1088",2007,"21-1088.C.1",2007,"Misdemeanor","6 months","1","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"Child Prostitution - Unlawful Detainment in Prostitution House (Second or Subsequent Offense)","Title 21","21-1088",2007,"21-1088.C.2",2007,"Felony","1","10","5000","25000","No","Nonspecific","Not Applicable","Not Applicable"
"Embezzled or Stolen Goods - Refusal to Exhibit on Demand","Title 21","21-1092",1998,"21-1092",1998,"Felony","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
